,repo,os,days_needed_to_remove_min,days_needed_to_remove_max,introducing_commit_id_first,introducing_commit_id_last,non_performance_candidate_commit_id,commiter_fixing_date,releases_pre_fixing_commit,issues_pre_fixing_commit,open_issues_pre_fixing_commit,closed_issues_pre_fixing_commit,mean_code_frequency_addition,median_code_frequency_addition,mean_code_frequency_deletion,median_code_frequency_deletion,patch_total_modifications,patch_total_deletions,patch_total_additions,Main Language,LOC,Contributors,age_pre_fixing
25,https://github.com/ccrama/Slide,android,0,6,b2cd4d9d,cb390cc6,f5ee5fd2,2016-03-09T00:54:15Z,27,1160,3,1157,1311.621622,70,798.5243243,39,7,3,4,Java,55986,37,164
26,https://github.com/ccrama/Slide,android,75,85,c9844f17,b0efb75a,149acb79,2016-02-07T18:36:46Z,23,965,2,963,1484.830688,98,918.1005291,44,21,6,15,Java,48287,32,133
27,https://github.com/ccrama/Slide,android,0,65,6bb5e728,e9c718ef,eaff6777,2016-03-22T20:24:12Z,33,1223,3,1220,1256.677596,69,778.0546448,35,43,14,29,Java,61802,37,177
28,https://github.com/ccrama/Slide,android,0,183,b2860bcb,6200724,f3fe9ece,2016-04-26T21:20:27Z,62,1577,3,1574,1059.219101,65,620.3876404,25,109,58,51,Java,72769,44,212
29,https://github.com/cgeo/cgeo,android,1,32,3a311f2a4,d44ae263b,651126c35,2011-08-12T19:42:45Z,0,171,4,167,2150.896226,588,1611.681604,299.5,96,75,21,Java,38650,17,33
30,https://github.com/cgeo/cgeo,android,12,483,1f8a55734,c8cdc987c,43c38951d,2014-11-03T21:27:51Z,71,4465,142,4323,1270.290196,345,964.2235294,174,10,3,7,Java,113292,47,1212
31,https://github.com/cgeo/cgeo,android,80,813,774a5ab29,a4deb343a,aa636ae77,2015-03-17T08:56:34Z,79,4745,165,4580,1286.254237,336.5,983.0889831,142.5,31,14,17,Java,121465,47,1346
32,https://github.com/cgeo/cgeo,android,404,404,0b86d40ee,0b86d40ee,cb868437e,2016-10-06T15:05:46Z,100,6023,289,5734,961.3032258,167,842.4903226,94,2,1,1,Java,149824,47,1915
33,https://github.com/cgeo/cgeo,android,6,6,393e0efc7,393e0efc7,bcb2a1351,2011-07-31T13:56:55Z,0,77,0,77,2164.941176,595,1615.465882,304,9,3,6,Java,38417,10,21
34,https://github.com/cgeo/cgeo,android,1,14,3a311f2a4,a04fd7b3f,a20eeb259,2011-07-25T20:37:39Z,0,48,0,48,2166.615023,596.5,1616.481221,305,187,9,178,Java,37478,10,15
35,https://github.com/cgeo/cgeo,android,6,6,45e1a0dc3,45e1a0dc3,4ca91a45a,2012-04-24T21:21:49Z,15,1442,27,1415,1543.459948,473,1078.878553,264,4,2,2,Java,63251,47,289
36,https://github.com/cgeo/cgeo,android,64,210,4f7c67407,0679e76ce,948c8b87c,2012-04-12T15:31:11Z,15,1397,26,1371,1559.066838,483,1098.218509,270,42,27,15,Java,63566,47,277
37,https://github.com/cgeo/cgeo,android,0,0,9f1678c69,9f1678c69,6fde65ea6,2011-11-25T16:45:20Z,12,835,20,815,1613.718826,534,1123.261614,287,2,1,1,Java,56913,38,138
38,https://github.com/cgeo/cgeo,android,14,14,3a311f2a4,3a311f2a4,c3fcd614d,2011-07-25T21:14:01Z,0,48,0,48,2166.615023,596.5,1616.481221,305,2,1,1,Java,37478,10,15
39,https://github.com/cgeo/cgeo,android,23,23,7789de675,7789de675,d5bde1944,2011-08-19T10:57:03Z,0,242,6,236,2131.553191,581,1598.496454,295,1,1,0,Java,40570,19,40
40,https://github.com/cgeo/cgeo,android,216,216,5fc5752e5,5fc5752e5,eb20785a1,2012-11-18T11:17:50Z,23,2171,44,2127,1583.154062,483,1115.910364,278,2,1,1,Java,72651,47,497
41,https://github.com/cgeo/cgeo,android,0,15,3a311f2a4,a20eeb259,7789de675,2011-07-26T12:13:25Z,0,50,0,50,2166.615023,596.5,1616.481221,305,90,35,55,Java,37497,10,16
42,https://github.com/cgeo/cgeo,android,513,513,564960153,564960153,3dfb1b3c5,2013-07-09T22:22:39Z,38,2968,66,2902,1438.62037,439.5,1024.046296,241,2,1,1,Java,90974,47,730
43,https://github.com/cgeo/cgeo,android,0,0,afb9a8920,afb9a8920,082cde2c6,2011-11-15T22:10:33Z,12,798,20,778,1619.846341,537.5,1129.192683,288,24,12,12,Java,57003,38,128
44,https://github.com/cgeo/cgeo,android,5,5,20d2bdbc3,20d2bdbc3,05dfbb7b0,2012-05-10T14:17:02Z,17,1538,28,1510,1523.61039,468,1061.223377,262,2,1,1,Java,63646,47,305
45,https://github.com/cgeo/cgeo,android,2,90,b4eaf6667,bb529cdaa,71c9868e2,2012-02-21T20:06:52Z,14,1153,23,1130,1592.007576,511.5,1100.530303,274.5,9,5,4,Java,58764,47,226
46,https://github.com/connectbot/connectbot,android,1,341,d6764b77,cb8a0cf9,c394e79b,2008-10-27T15:58:43Z,0,0,0,0,559.6660808,0,406.3391916,0,370,84,286,Java,19011,2,2738
47,https://github.com/connectbot/connectbot,android,124,124,cbf1af86,cbf1af86,e55e512c,2008-12-30T00:03:27Z,2,0,0,0,539.0178571,0,405.6321429,0,2,2,0,Java,28637,2,2802
48,https://github.com/connectbot/connectbot,android,0,139,cbf1af86,e7fb9225,1322b465,2009-01-13T17:44:53Z,2,0,0,0,540.3405018,0,406.6917563,0,80,69,11,Java,28632,2,2816
49,https://github.com/DrKLO/Telegram,android,1,233,4622ba91,a87968ce,358a067a,2014-06-16T12:36:54Z,0,146,7,139,8451.025455,0,3863.636364,0,629,231,398,Java,218057,6,239
50,https://github.com/Evisceration/DeviceControl,android,30,109,7e0f7d61,139f4c45,0df99ea5,2014-05-09T11:18:20Z,0,0,0,0,600.8113879,0,546.0569395,0,174,90,84,Java,22098,6,131
51,https://github.com/Evisceration/DeviceControl,android,7,7,2809aafd,2809aafd,12d5baae,2014-01-12T01:16:01Z,0,0,0,0,848.7508418,0,711.040404,0,4,1,3,Java,4942,1,14
52,https://github.com/Evisceration/DeviceControl,android,11,124,eda3bd37,ecb1f762,677e3dbb,2014-07-31T19:26:52Z,0,1,0,1,479.7843866,0,459.2936803,0,22,6,16,Java,29252,6,214
53,https://github.com/Evisceration/DeviceControl,android,6,151,f470ff62,0dd2de6a,e3d0d6e0,2014-10-14T14:13:49Z,0,1,0,1,332.6976744,0,324.7170543,0,20,7,13,Java,31190,7,289
54,https://github.com/federicoiosue/Omni-Notes,android,1,1,948d62ac,948d62ac,556da06e,2014-05-15T19:24:32Z,43,4,0,4,577.7892857,54,488.9607143,27.5,8,2,6,Java,21911,1,200
55,https://github.com/federicoiosue/Omni-Notes,android,0,133,d63548dd,bdedce30,2052a6d7,2015-06-09T00:27:33Z,71,173,18,155,226.9821429,13,168.3571429,7,45,21,24,Java,28880,1,590
56,https://github.com/federicoiosue/Omni-Notes,android,0,0,4f785d9e,4f785d9e,cf7c2b62,2014-09-22T17:59:19Z,60,52,4,48,435.8965517,40,357.8429119,22,4,2,2,Java,26230,1,330
57,https://github.com/federicoiosue/Omni-Notes,android,0,57,71a83ca9,a34bc520,cd11faf6,2014-04-11T23:23:43Z,34,3,0,3,622.6175439,56,522.1824561,32,191,108,83,Java,19845,1,166
58,https://github.com/federicoiosue/Omni-Notes,android,0,0,30b1fc80,f6adae87,52fd3475,2013-11-14T10:32:43Z,1,0,0,0,947.3202614,80.5,755.8823529,49.5,56,18,38,Java,2078,1,18
59,https://github.com/federicoiosue/Omni-Notes,android,0,3,12ae2409,801ce414,5ec0c680,2013-11-11T15:30:08Z,0,0,0,0,947.3202614,80.5,755.8823529,49.5,7,3,4,Java,2012,1,15
60,https://github.com/federicoiosue/Omni-Notes,android,0,86,6b762d04,e330dffe,ade53f34,2014-04-04T02:07:40Z,32,2,0,2,629.972028,56.5,531.5664336,32.5,34,17,17,Java,20054,1,159
61,https://github.com/federicoiosue/Omni-Notes,android,1,87,9a673a68,87157a2a,424bd42c,2014-03-27T17:51:49Z,31,2,0,2,640.7944251,57,537.4878049,33,474,287,187,Java,18818,1,151
62,https://github.com/geometer/FBReaderJ,android,2,50,cfa3b09ce,046e89d27,885994370,2010-04-09T13:05:33Z,0,0,0,0,1687.226721,108,1096.797571,40.5,468,173,295,Java,76234,7,915
63,https://github.com/geometer/FBReaderJ,android,0,11,c7e52706a,d1f7d2d0c,554ed2448,2010-07-09T13:44:19Z,0,0,0,0,1593.923077,93,1005.137214,36,39,14,25,Java,83584,7,1006
64,https://github.com/geometer/FBReaderJ,android,0,39,5083a118f,881d1a3c8,0fb5237da,2007-12-06T19:13:10Z,0,0,0,0,2061.925325,102,1333.962662,33.5,59,10,49,Java,10249,5,60
65,https://github.com/geometer/FBReaderJ,android,6,6,8fd74dbe0,8fd74dbe0,cffefc3d7,2011-12-02T21:36:33Z,53,17,1,16,1353.526961,4,799.5759804,1.5,4,1,3,Java,103374,7,1517
66,https://github.com/geometer/FBReaderJ,android,0,27,a92a6b1a7,d231e91d5,622446c31,2007-12-08T17:57:11Z,0,0,0,0,2061.925325,102,1333.962662,33.5,244,14,230,Java,11061,5,62
67,https://github.com/geometer/FBReaderJ,android,0,0,7a582f8e2,7a582f8e2,8628c5b6f,2010-05-07T12:39:52Z,0,0,0,0,1576.746939,97.5,991.877551,37.5,2,1,1,Java,80798,7,943
68,https://github.com/geometer/FBReaderJ,android,0,1,d04eafc31,d92e71326,dc26efedf,2007-11-23T11:51:50Z,0,0,0,0,2081.867314,103.5,1345.569579,35,18,6,12,Java,6701,5,47
69,https://github.com/geometer/FBReaderJ,android,35,145,ea4673eed,d39563e28,c3fba9899,2010-09-06T18:26:32Z,0,0,0,0,1610.485169,78.5,1016.432203,31,154,19,135,Java,85782,7,1065
70,https://github.com/geometer/FBReaderJ,android,5,5,44ac822ca,44ac822ca,719a1da8f,2010-12-14T15:54:12Z,12,7,0,7,1419.534934,56.5,823.2052402,23.5,9,1,8,Java,88466,7,1164
71,https://github.com/geometer/FBReaderJ,android,0,0,b9b7f61ad,b9b7f61ad,2be8618de,2010-09-13T19:24:11Z,0,0,0,0,1613.492569,74,1018.528662,31,6,1,5,Java,85915,7,1072
72,https://github.com/geometer/FBReaderJ,android,10,11,a26d373a7,a42f9569d,ba3a86669,2014-04-27T10:07:11Z,166,193,96,97,604.2375887,0,475.2163121,0,27,13,14,Java,205447,7,2394
73,https://github.com/geometer/FBReaderJ,android,3,143,51dfc1222,1c2389366,26d28beec,2008-03-15T16:02:07Z,0,0,0,0,1889.702658,75.5,1277.94186,28.5,27,20,7,Java,20992,5,160
74,https://github.com/geometer/FBReaderJ,android,1,34,2bd62b9fe,bab88477f,849b45a23,2011-02-03T12:41:38Z,24,10,1,9,1413.339246,45,811.6674058,17,44,23,21,Java,94908,7,1215
75,https://github.com/geometer/FBReaderJ,android,0,20,9a477ffa8,4646d066a,009d535d6,2011-01-28T14:12:25Z,22,10,1,9,1414.710177,48,811.590708,19,24,13,11,Java,93589,7,1209
